siteID,Lake_name,code,lake_or_reservoir,location,region,latitude,longitude,elevation_m,mean_depth_m,max_depth_m,surface_area_km2,volume_km3,source,sampling_depth,time_period,human_impacts,contributor
139,Kariba,350,Reservoir,Zimbabwe Zambia,Africa,-16.68,28.44,468,29,97,4958.5,160,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
140,Kasba,1240,Lake,Canada ,Western North America,60.32,-102.11,335,,,1334.8,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
141,Kensico,is901,Reservoir,United States,Eastern North America,41.08,-73.76,108.81,19.2,53.9,9.14,0.16,Samal,1,JAS,,Nihar Samal NSamal@dep.nyc.gov
142,Kevojarvi,is20,Lake,Finland,Europe,69.75,27,75,11,35,1,0.01,Kuusisto,0,JAS,No,Esko Kuusisto esko.kuusisto@ymparisto.fi
143,Khanka,450,Lake,Russia China,Asia,45.09,132.42,64,4.5,6.5,4088.1,18.3,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
144,Kinneret,is500,Lake,Israel,Middle East,32.83,35.58,-209,25.6,43,170,4,Rimmer,0,JAS,,Alon Rimmer alon@ocean.org.il
145,Kivu,670,Lake,Zaire Rwanda,Africa,-1.79,29.14,1500,240,480,2370.7,333,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
146,Kremenshugskoye,870,Reservoir,Ukraine ,Europe,49.23,32.78,78,6.87,,1964.9,13.5,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
147,Kulundinskoye,2620,Lake,Russia ,Asia,53.01,79.53,92,32,4.9,728,23.29,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
148,Kuybyshevskoye,330,Reservoir,Russia ,Europe,55.29,49.61,56,8,41,5003.3,57.3,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
149,L223,is21,Lake,Canada - ELA,Eastern North America,49.75,-93.75,402,7.16,14.4,0.27,1.95E-03,Sandilands,2,JAS,,Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca
150,L224,is22,Lake,Canada - ELA,Eastern North America,49.75,-93.75,402,11.59,27.4,0.25,3.00E-03,Sandilands,2,JAS,,Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca
151,L227,is23,Lake,Canada - ELA,Eastern North America,49.75,-93.75,402,4.42,10,0.05,2.21E-04,Sandilands,2,JAS,,Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca
152,L239,is24,Lake,Canada - ELA,Eastern North America,49.75,-93.75,392,10.52,30.4,0.54,5.71E-03,Sandilands,2,JAS,,Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca
153,L240,is25,Lake,Canada - ELA,Eastern North America,49.75,-93.75,392,6.05,13.1,0.44,2.67E-03,Sandilands,2,JAS,,Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca
154,L302s,is26,Lake,Canada - ELA,Eastern North America,49.75,-93.75,402,5.08,10.6,0.1,1.29E-03,Sandilands,2,JAS,,Ken Sandiland Ken.Sandilands@dfo-mpo.gc.ca; Scott Higgins Scott.Higgins@dfo-mpo.gc.ca
155,Labaz,3310,Lake,Russia ,Asia,72.29,99.69,48,,,549.6,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
156,Lacawac,is102,Lake,United States,Eastern North America,41.38,-75.29,428,10.1,24.1,0.48,4.88E-03,Williamson,0,JAS,,Craig Williamson craig.williamson@miamiOH.edu
157,Ladoga,160,Lake,Russia ,Europe,60.77,31.64,11,51,230,17539.1,837,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
158,Lake.of.the.Woods,440,Lake,Canada United States,Eastern North America,49.05,-94.88,326,7.9,64,4167.7,19.4,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
159,Lappajarvi,is27,Lake,Finland,Europe,63.26,23.63,70,7,38,141,1.07,Kuusisto,0,JAS,No,Esko Kuusisto esko.kuusisto@ymparisto.fi
160,Lianquihui,2090,Lake,Chile ,South America,-41.12,-72.78,56,182,317,865.9,158.6,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
161,Limfjorden,1400,Lake,Denmark ,Europe,56.95,9.06,3,44.86,24,900,54.17,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
162,Little.Para.Reservoir,is111,Reservoir,Australia,Oceania,-34.75,138.72,141.8,16.64,,1.25,0.02,Daly,0,JFM,,Rob Daly Rob.Daly@sawater.com.au
163,Loch.Leven,is28,Lake,Scotland,Europe,56.19,-3.37,107,3.9,25.5,13.3,0.09,May,0,JAS,,Linda May lmay@ceh.ac.uk
164,The.Loch,is1000,Lake,United States,Western North America,40.29,-105.65,3048,1.5,4.7,0.04,6.10E-05,Baron and Heath,0,JAS,,Jill Baron Jill.Baron@colostate.edu
165,Lochloosa,is112,Lake,United States,Southeastern North America,29.52,-82.13,18,1.8,10,26,0.04,Havens,0,JAS,,Karl Havens khavens@ufl.edu
166,Lohi,is302,Lake,Canada,Eastern North America,46.38,-81.04,282,6.2,19.5,0.4,2.50E-03,Bailey,0,JAS,,John Bailey jbailey@laurentian.ca
167,Lower.Zurich,is29,Lake,Switzerland,Europe,47.29,8.58,406,50.2,136,66.61,3.34,Livingstone,0,JAS,Changing trophic status (eutrophication folowed by oligotrophication). Boating.,David Livingstone living@eawag.ch
168,Maggiore,is30,Lake,Italy,Europe,45.95,8.63,193.88,176.5,370,212.5,37.5,Rogora,0,JAS,the lake was affected by eutrophication in the 70s and 80s but has now recovered to an oligotrophic status,Michela Rogora m.rogora@ise.cnr.it
169,Mai.Ndombe,900,Lake,Zaire ,Africa,-1.69,18.28,335,5,10,1954.9,,Satellite,skin,JAS, ,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
170,Malaren,is31,Lake,Sweden,Europe,59.5,17.2,0.3,12.8,63,1096,14.03,Weyhenmeyer,0.5,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
171,Malawi.Buoy1,101,Lake,Malawi Mozambique Tanzania,Africa,-13.86,34.85,485,292,706,29251.5,8400,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
172,Malawi.Buoy2,102,Lake,Malawi Mozambique Tanzania,Africa,-13.43,34.74,485,292,706,29251.5,8400,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
173,Malawi.Center,100,Lake,Malawi Mozambique Tanzania,Africa,-11.73,34.62,485,292,706,29251.5,8400,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
174,Managua,1760,Lake,Nicaragua ,South America,12.37,-86.36,56,7.8,26,1023.8,7.97,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
175,Manitoba,370,Lake,Canada ,Eastern North America,50.41,-98.29,247,4.75,7,4790.9,22.8,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
176,Maroondah,is114,Reservoir,Australia,Oceania,-37.63,145.56,123.94,,41,1.97,,Brookes,0,JFM,,Justin Brookes justin.brookes@adelaide.edu.au
177,Martre,1000,Lake,Canada ,Western North America,63.45,-118.19,265,,,1684,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
178,McConaughy,is115,Lake,United States Nebraska,Western North America,41.22,-101.72,996,14.9,43,144,2.15,Lenters,0,JAS,,John Lenters jlenters@mac.com
179,Mendota,is905,Lake,United States,Eastern North America,43.09,-89.4,259,12.8,25.3,39.37,0.5,NTL LTER,0,JAS,,Jordan Read jread@usgs.gov
180,Michigan.B45002,61,Lake,United States ,Eastern North America,45.34,-86.4,176,84,281,57399.4,4871,Austin/Schneider,0,JAS,,Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no
181,Michigan.B45007,62,Lake,United States ,Eastern North America,42.67,-87.02,176,84,281,57399.4,4871,Austin/Schneider,0,JAS,,Jay Austin jaustin@d.umn.edu; Phillip Schneider ps@nilu.no
182,Michigan.Center,60,Lake,United States ,Eastern North America,42.84,-86.94,176,84,281,57399.4,4871,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
183,Middle,is303,Lake,Canada,Eastern North America,46.43,-81.02,284,6.2,15,0.28,1.75E-03,Bailey,0,JAS,,John Bailey jbailey@laurentian.ca
184,Millbrook.Reservoir,is116,Reservoir,Australia,Oceania,-34.82,138.81,326.3,9.26,24.96,1.78,0.01,Daly,0,JFM,,Rob Daly Rob.Daly@sawater.com.au
185,Mondsee,is33,Lake,Austria,Europe,47.83,13.38,481,36,68.3,14.2,0.49,Dokulil &Teubner,0,JAS,Tourism,Martin Dokulil  martin.dokulil@univie.ac.at; Katrin Teubner katrin.teubner@univie.ac.at
186,Mono.Lake,8830,Lake,United States ,Western North America,38.01,-118.96,1955,16.5,43,212,2.97,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
187,Monona,is133,Lake,United States,Eastern North America,43.06,-89.36,258,8.2,22.5,13.24,0.1,NTL LTER,0,JAS,,Jordan Read jread@usgs.gov
188,Mount.Bold.Reservoir,is119,Reservoir,Australia,Oceania,-35.12,138.71,306.5,14.99,41.45,3.08,0.04,Daly,0,JFM,,Rob Daly Rob.Daly@sawater.com.au
189,Muggelsee,is34,Lake,Germany,Europe,52.43,13.65,32,4.9,8,7.3,0.03,Adrian,0.5,JAS,,Rita Adrian adrian@igb-berlin.de
190,Mweru,360,Lake,Zambia Zaire,Africa,-9.01,28.74,949,7,37,4944.8,32,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
191,Myponga.Reservoir,is120,Reservoir,Australia,Oceania,-35.4,138.44,225.6,9.57,44.08,2.8,0.02,Daly,0,JFM,,Rob Daly Rob.Daly@sawater.com.au
192,Na.Mu,910,Lake,China ,Asia,30.7,90.45,4704,26,33,1933.6,49.92,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
193,Nasser,480,Reservoir,Egypt Sudan,Africa,23.19,32.78,192,25.2,130,3817.9,132.5,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
194,Nerpichye,3380,Lake,Russia ,Asia,56.41,162.74,1,51,148,527.7,26.91,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
195,Nettiling,320,Lake,Canada ,Eastern North America,66.76,-70.72,30,20,132,5064.7,114,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
196,Neusiedler.See,is35,Lake,Austria B bordering Hungary,Europe,47.75,16.75,116,1.2,1.8,315,0.25,Dokulil,0,JAS,Tourism,Martin Dokulil martin.dokulil@univie.ac.at 
197,Neversink,is122,Reservoir,United States,Eastern North America,41.82,-74.64,438.91,25.8,57,6.22,0.15,Samal,1,JAS,,Nihar Samal NSamal@dep.nyc.gov
198,Newnans,is125,Lake,United States,Southeastern North America,29.64,-82.22,20,1.5,3.6,30.42,0.05,Havens,0,JAS,,Karl Havens khavens@ufl.edu
199,Ngoring,3000,Lake,China ,Asia,34.89,97.71,4240,17.6,30.7,597.8,10.76,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
200,Nicaragua,210,Lake,Nicaragua ,South America,11.37,-85.2,31,13.75,70,7851.5,108,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
201,Nipigon,380,Lake,Canada ,Eastern North America,49.72,-88.63,283,54.9,165,4476.9,248,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
202,North.Pine,is128,Reservoir,Australia,Oceania,-27.26,152.93,39.6,42.33,24.9,20.75,0.51,Watkinson,0,JFM,,Andrew Watkinson Andrew.Watkinson@seqwater.com.au
203,OkeeL001,1140,Lake,United States ,Southeastern North America,26.92,-80.8,4,2.7,4.5,1436.8,5.2,Havens,0.5,JAS,,Karl Havens khavens@ufl.edu
204,OkeeL002,is137,Lake,United States ,Southeastern North America,26.92,-80.8,5.49,2.74,3.66,1891,5.18,Havens,0.5,JAS,,Karl Havens khavens@ufl.edu
205,OkeeL003,is138,Lake,United States ,Southeastern North America,26.92,-80.8,5.49,2.74,3.66,1891,5.18,Havens,0.5,JAS,,Karl Havens khavens@ufl.edu
206,OkeeL004,is139,Lake,United States ,Southeastern North America,26.92,-80.8,5.49,2.74,3.66,1891,5.18,Havens,0.5,JAS,,Karl Havens khavens@ufl.edu
207,OkeeL005,is140,Lake,United States ,Southeastern North America,26.92,-80.8,5.49,2.74,3.66,1891,5.18,Havens,0.5,JAS,,Karl Havens khavens@ufl.edu
208,OkeeL006,is141,Lake,United States ,Southeastern North America,26.92,-80.8,5.49,2.74,3.66,1891,5.18,Havens,0.5,JAS,,Karl Havens khavens@ufl.edu
209,OkeeL007,is142,Lake,United States ,Southeastern North America,26.92,-80.8,5.49,2.74,3.66,1891,5.18,Havens,0.5,JAS,,Karl Havens khavens@ufl.edu
210,OkeeL008,is143,Lake,United States ,Southeastern North America,26.92,-80.8,5.49,2.74,3.66,1891,5.18,Havens,0.5,JAS,,Karl Havens khavens@ufl.edu
211,Onegh,180,Lake,Russia ,Europe,61.65,35.53,56,30,120,9608.1,280,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
212,Oneida_Billington,is144,Lake,United States,Eastern North America,43.17,-75.94,112,4.3,16.8,207,1.56,Hethrington and Rudstram,0,JAS,,Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu
213,Oneida_Buoy_109,is145,Lake,United States,Eastern North America,43.18,-75.77,112,12,16.8,207,1.56,Hethrington and Rudstram,0,JAS,,Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu
214,Oneida_Buoy_117,is146,Lake,United States,Eastern North America,43.19,-75.85,112,11.9,16.8,207,1.56,Hethrington and Rudstram,0,JAS,,Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu
215,Oneida_Buoy_123,is147,Lake,United States,Eastern North America,43.2,-75.91,112,7.7,16.8,207,1.56,Hethrington and Rudstram,0,JAS,,Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu
216,Oneida_Buoy_125,is148,Lake,United States,Eastern North America,43.21,-75.92,112,12.1,16.8,207,1.56,Hethrington and Rudstram,0,JAS,,Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu
217,Oneida_Buoy_127,is149,Lake,United States,Eastern North America,43.21,-75.96,112,11.2,16.8,207,1.56,Hethrington and Rudstram,0,JAS,,Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu
218,Oneida_Shackelton_Point,is150,Lake,United States,Eastern North America,43.18,-75.92,112,11.4,16.8,207,1.56,Hethrington and Rudstram,0,JAS,,Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu
219,Oneida_Three_Mile_Bay,is151,Lake,United States,Eastern North America,43.22,-76.04,112,6.4,16.8,207,1.56,Hethrington and Rudstram,0,JAS,,Amy Hetherington alh11@cornell.edu; Lars Rudstram lgr1@cornell.edu
220,Ontario.Center,150,Lake,Canada,Eastern North America,43.62,-77.61,75,86,224,19328.9,1638,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
221,Orange,is152,Lake,United States,Southeastern North America,29.45,-82.17,17,1.9,2.4,48,0.09,Havens,0,JAS,,Karl Havens khavens@ufl.edu
222,Orta,is36,Lake,Italy,Europe,45.81,8.4,290,72,143,18.15,1.24,Rogora,0,JAS,the lake was affected by a strong industrial pollution started in the 1950s. It was severely acidified due to industrial discharge rich in ammonia and heavy metals. It was limed in 1988-1989. Then it recovered and its chemical status it's now close to th,Michela Rogora m.rogora@ise.cnr.it
223,Ovre Skarsjon,is37,Lake,Sweden,Europe,59.83,15.55,218.7,5.7,32,1.72,9.91E-03,Weyhenmeyer,0,JAS, ,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
224,Paajarvi (Lammi),is38,lake,H_me Finland,Europe,61.05,25.16,102,15,85,13.4,0.2,Arvola,0,JAS,Water lever regulated,Lauri Arvola lauri.arvola@helsinki.fi
225,Paijanne,is5001,Lake,Finland,Europe,61.52,25.5,78,16,95.3,1080,0.2,Kuusisto,0,JAS,Esko,Kuusisto esko.kuusisto@ymparisto.fi 
226,Peipsi..Peipus..Mehikoorma,500,Lake,Russia Estonia,Europe,58.79,27.43,29,7.1,15.3,3552.8,25,Noges,0,JAS,Settlements and agriculture on catchment commercial fishery,Tiina and Peeter Noges tiina.noges@emu.ee and peeter.noges@emu.ee
227,Peipsi..Peipus..Mustvee,500,Lake,Russia Estonia,Europe,58.79,27.43,29,7.1,15.3,3552.8,25,Noges,0,JAS,Settlements and agriculture on catchment commercial fishery,Tiina and Peeter Noges tiina.noges@emu.ee and peeter.noges@emu.ee
228,Peipsi..Peipus..Praaga,500,Lake,Russia Estonia,Europe,58.79,27.43,29,7.1,15.3,3552.8,25,Noges,0,JAS,Settlements and agriculture on catchment commercial fishery,Tiina and Peeter Noges tiina.noges@emu.ee and peeter.noges@emu.ee
229,Pepacton,is153,Reservoir,United States,Eastern North America,42.07,-74.96,390.14,30.1,68.3,23.19,0.63,Samal,1,JAS, ,Nihar Samal NSamal@dep.nyc.gov
230,PeterPond,2220,Lake,Canada ,Western North America,56.02,-108.92,423,13.7,24,778,10.6,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
231,Pielavesi,is40,Lake,Finland,Europe,63.21,26.66,102,6,27,110,0.66,Kuusisto,0,JAS,No,Esko Kuusisto esko.kuusisto@ymparisto.fi
232,Pielinen,is41,Lake,Finland,Europe,63.53,29.13,94,9,60,870,8.5,Kuusisto,0,JAS,No,Esko Kuusisto esko.kuusisto@ymparisto.fi
233,Plastic,is159,Lake,Canada,Eastern North America,45.17,-78.82,253.9,7.9,16.3,0.32,3.76E-03,Rusak,0.1,JAS,,Jim Rusak Jim.Rusak@ontario.ca
234,Plusseee,,Lake,Germany,Europe,54.15,10.38,24,9.4,28,0.14,1.35E-03,Mueller-Navarra,0,JAS,,Doerthe Mueller-Navarra doerthe.mueller-navarra@uni-hamburg.de
235,Poinsett,is160,Lake,United States Florida,Southeastern North America,28.33,-80.83,4,1.5,2.5,18,0.02,Havens,0,JAS,,Karl Havens khavens@ufl.edu
236,Poopo,1330,Lake,Bolivia ,South America,-19.01,-66.96,3679,0.5,3,3011,3.41,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
237,Pyhaselka.Kaskesniemi,is161,Lake,Finland,Europe,62.46,29.76,75.9,10,70,229,2.29,Voutilainen,1,JAS,,Ari Voutilainen ari.voutilainen@uef.fi
238,Pyhaselka.Kokonluoto,is162,Lake,Finland,Europe,62.46,29.76,75.9,10,70,229,2.29,Voutilainen,1,JAS,,Ari Voutilainen ari.voutilainen@uef.fi
239,Pyhaselka.Noljakansaaret,is164,Lake,Finland,Europe,62.46,29.76,75.9,10,70,229,2.29,Voutilainen,1,JAS,,Ari Voutilainen ari.voutilainen@uef.fi
240,Pyhaselka.Pyhasaari,is165,Lake,Finland,Europe,62.46,29.76,75.9,10,70,229,2.29,Voutilainen,1,JAS,,Ari Voutilainen ari.voutilainen@uef.fi
241,Pyramid.Lake,4110,Lake,United States ,Western North America,40.1,-119.59,1161,60,105,448.2,27,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
242,Qinghai,410,Lake,China ,Asia,36.96,100.27,3176,16,28,4449.7,85,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
243,Razelm,3580,Lake,Romania ,Europe,44.91,28.94,1,,2.5,508.6,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
244,Red.Chalk.East,is167,Lake,Canada,Eastern North America,45.18,-78.94,343,5.7,19,0.13,7.44E-04,Rusak,0.1,JAS,,Jim Rusak Jim.Rusak@ontario.ca
245,Red.Chalk.Main,is168,Lake,Canada,Eastern North America,45.18,-78.94,343,16.7,38,0.44,7.36E-03,Rusak,0.1,JAS,,Jim Rusak Jim.Rusak@ontario.ca
246,Reindeer,280,Lake,Canada ,Western North America,57.57,-102.14,337,17,219,5596.6,95.25,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
247,Remmarsjon,is43,Lake,Sweden,Europe,63.86,18.27,234.1,5.2,14.4,1.36,7.02E-03,Weyhenmeyer,0,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
248,Rondout,is171,Reservoir,United States,Eastern North America,41.8,-74.42,256.03,27.3,57.3,8.57,0.22,Samal,1,JAS,,Nihar Samal NSamal@dep.nyc.gov
249,Rotehogstjarnen,is44,Lake,Sweden,Europe,58.81,11.61,120.5,3.4,9.4,0.16,5.71E-04,Weyhenmeyer,0,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
250,Rotorua,is46,Lake,New Zealand,Oceania,-38.08,176.26,280,11,44.8,80.47,0.87,Allan,0,JFM,,Mat Allan mga1@waikato.ac.nz; David Hamilton davidh@waikato.ac.nz
251,Rukwa,2600,Lake,Tanzania ,Africa,-7.59,31.79,793,,15,1965,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
252,Rukwa.1,860,Lake,Tanzania ,Africa,-7.8,31.99,793,,15,1965,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
253,Rybinkskoye,470,Reservoir,Russia ,Europe,58.41,38.51,108,5.6,28,3926.6,25.4,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
254,Saimaa,is47,Lake,Finland,Europe,61.08,28.26,76,12,82,4400,36,Kuusisto,0,JAS,No,Esko Kuusisto esko.kuusisto@ymparisto.fi
255,Saint.Clair,1460,Lake,Canada United States,Eastern North America,42.43,-82.71,174,3.4,8.2,1155.8,3.4,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
256,Salton.Sea.Center,1940,Lake,United States ,Western North America,33.24,-115.72,-74,9.2,15,929,9.25,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
257,Salton.Sea.SS1,1941,Lake,United States ,Western North America,33.22,-115.82,-74,9.2,15,929,9.25,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
258,Sans.Chambre,is5005,Lake,Canada,Eastern North America,46.72,-81.12,385,5.6,15,0.14,8.30E-04,Rusak,0,JAS,,Jim Rusak Jim.Rusak@ontario.ca
259,Sarykamyshskoye,2410,Lake,Turkmenistan ,Middle East,41.86,57.5,-12,,,752.4,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
260,Sasykkol,2470,Lake,Kazakhstan ,Asia,46.57,80.88,342,3.3,4.7,731.9,2.43,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
261,Schoharie,is180,Reservoir,United States,Eastern North America,42.39,-74.45,344.42,18.1,46.6,4.63,0.08,Samal,1,JAS,,Nihar Samal NSamal@dep.nyc.gov
262,Se.lin,1050,Lake,China ,Asia,31.79,89.08,4557,,40,1908.5,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
263,Segozero,2280,Lake,Russia ,Europe,63.27,33.7,129,6.2,103,784.1,17.8,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
264,Selawik.Lake,1700,Lake,United States ,Western North America,66.47,-160.52,1,,,1066.2,,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
265,Sevan,1350,Lake,Armenia ,Middle East,40.29,45.4,1876,41,86,1249.9,58.5,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
266,Silvan,is184,Lake,Australia,Oceania,-37.83,145.41,248,,40,3.33,0.04,Brookes,0,JFM,,Justin Brookes justin.brookes@adelaide.edu.au
267,Simcoe,2360,Lake,Canada ,Eastern North America,44.44,-79.35,233,15,41,759.7,11.6,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
268,Skargolen,is185,Lake,Sweden,Europe,57.77,15.58,72,7,12.5,0.15,1.08E-03,Weyhenmeyer,0,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
269,Sky.Pond,iS186,Lake,United State,Western North America,40.27,-105.66,3322,4.5,7.3,0.03,1.22E-04,Baron and Heath,0,JAS,,Jill Baron Jill.Baron@colostate.edu
270,Smallwood,270,Reservoir,Canada ,Eastern North America,54.15,-64,472,5.16,,5610.4,29,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
271,Songkhla.Lake,1750,Lake,Thailand ,Asia,7.67,100.23,67,1.4,2,1024.5,1.6,Satellite,skin,JFM,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
272,South.Para.Reservoir,is189,Reservoir,Australia,Oceania,-34.7,138.86,253.7,11.33,39,4,0.04,Daly,10,JFM,,Rob Daly Rob.Daly@sawater.com.au
273,Sparkling.Lake.NTL,is48,lake,United States,Eastern North America,46,-89.7,494.76,10.7,19.6,0.63,6.84E-03,NTL LTER,0,JAS,,Jordan Read jread@usgs.gov
274,St Skarsjon,is49,Lake,Sweden,Europe,56.67,13.06,60,3.8,11.5,0.31,1.17E-03,Weyhenmeyer,0,JAS,,Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se
275,St.Jean,1580,Reservoir,Canada ,Eastern North America,48.56,-71.96,97,11.4,63.1,1106.2,11.9,Satellite,skin,JAS,,Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov
